,Adsorbent,LCD,PLD,LFPD,cm3_g,ASA_m2_cm3,ASA_m2_g,NASA_m2_cm3,NASA_m2_g,AV_VF,AV_cm3_g,NAV_cm3_g,Has_OMS,0.5bar_GCMC,Adsorbate,Uptake,Temperature,Molecular weight (g/mol),H-bond donors,H-bond acceptors,Dipole moment (D),Molecular surface area (Å^2),Critical temperature (K),"Compressibility factor (상온,상압)","Hmolar (상온,상압)","Compressibility factor 주어진 압력, 온도","Hmola 주어진 압력, 온도",Boiling point at 1atm (K),Melting point at 1atm (K),Boiling point at 주어진압력 (K),Melting point at 주어진압력 (K),Pressure
23042,ABAYIO_clean,11.39486,4.3226,11.27409,0.949126,1428.73,1505.31,409.494,431.444,0.6636,0.69917,0.0,0,0.107577674,O2,0.909236519,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.9993530162259859,8671.992981630285,0.9965543269967904,8492.390525180153,90.1878078805,54.36,108.80617002729173,54.36,5.0
23046,ABAYOU_clean,11.27344,4.5108,11.27344,0.979267,1463.42,1494.4,419.062,427.935,0.6638,0.677854,0.0,0,0.114573175,O2,0.954939269,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.9993530162259859,8671.992981630285,0.9965543269967904,8492.390525180153,90.1878078805,54.36,108.80617002729173,54.36,5.0
23050,ABETIN_clean,9.47418,7.83744,9.45292,0.597233,2275.99,3810.89,0.0,0.0,0.7302,1.22264,0.0,0,0.157023479,O2,1.513493696,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.9993530162259859,8671.992981630285,0.9965543269967904,8492.390525180153,90.1878078805,54.36,108.80617002729173,54.36,5.0
23054,ABEXIQ_clean,4.80529,4.06893,4.80529,1.7876,954.695,534.065,11.1491,6.2369,0.4776,0.267174,0.0,1,0.034678939,O2,0.312973013,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.9993530162259859,8671.992981630285,0.9965543269967904,8492.390525180153,90.1878078805,54.36,108.80617002729173,54.36,5.0
23058,ABIYIV_clean,4.33176,3.82431,4.32093,1.34661,564.007,418.836,0.0,0.0,0.4458,0.331055,0.0,0,0.067580099,O2,0.497930336,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.9993530162259859,8671.992981630285,0.9965543269967904,8492.390525180153,90.1878078805,54.36,108.80617002729173,54.36,5.0
23062,ABULOB_clean,4.86958,4.16445,4.86236,1.31921,1184.81,898.121,0.0,0.0,0.5364,0.406607,0.0,0,0.37634139,O2,2.3864042,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.9993530162259859,8671.992981630285,0.9965543269967904,8492.390525180153,90.1878078805,54.36,108.80617002729173,54.36,5.0
23066,ABUWOJ_clean,5.07969,4.03039,4.98773,1.15833,1745.23,1506.68,0.0,0.0,0.621,0.536118,0.0,1,0.179857109,O2,1.488952345,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.9993530162259859,8671.992981630285,0.9965543269967904,8492.390525180153,90.1878078805,54.36,108.80617002729173,54.36,5.0
23070,ac403674p_si_001_clean,8.50423,8.27985,8.50423,1.12072,1220.76,1089.26,0.0,0.0,0.5906,0.526983,0.0,0,0.039870267,O2,0.383578221,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.9993530162259859,8671.992981630285,0.9965543269967904,8492.390525180153,90.1878078805,54.36,108.80617002729173,54.36,5.0
23074,ACAJIZ_clean,6.1865,5.74044,6.1865,1.30148,981.157,753.879,0.0,0.0,0.4824,0.370656,0.0,0,0.043398872,O2,0.389680367,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.9993530162259859,8671.992981630285,0.9965543269967904,8492.390525180153,90.1878078805,54.36,108.80617002729173,54.36,5.0
23078,ACAJOF_clean,6.86398,6.10482,6.86398,1.21871,1121.27,920.046,0.0,0.0,0.513,0.420936,0.0,0,0.042294345,O2,0.398356692,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.9993530162259859,8671.992981630285,0.9965543269967904,8492.390525180153,90.1878078805,54.36,108.80617002729173,54.36,5.0
