,name,gas,pressure,temp,cutoff,path,Average loading absolute [mol/kg framework],Average loading excess [mol/kg framework],Average loading absolute [molecules/unit cell],Average loading excess [molecules/unit cell]
36,c5dt03344f_c5dt03344f2_clean,CO2,5.0,298.0,14.0,c5dt03344f_c5dt03344f2_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
37,c5nj03044g_c5nj03044g2_clean,CO2,5.0,298.0,14.0,c5nj03044g_c5nj03044g2_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
38,c6ce00155f_c6ce00155f2_clean,CO2,5.0,298.0,14.0,c6ce00155f_c6ce00155f2_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
39,c6ce00407e_c6ce00407e1_clean,CO2,5.0,298.0,14.0,c6ce00407e_c6ce00407e1_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
40,c6dt00658b_c6dt00658b2_clean,CO2,5.0,298.0,14.0,c6dt00658b_c6dt00658b2_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
41,c6ra27509e_c6ra27509e2_clean,CO2,5.0,298.0,14.0,c6ra27509e_c6ra27509e2_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
42,CAJHUS03_clean,CO2,5.0,298.0,14.0,CAJHUS03_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
43,CANROA_clean,CO2,5.0,298.0,14.0,CANROA_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
44,CAVPUM_manual,CO2,5.0,298.0,14.0,CAVPUM_manual_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
45,CAXVUU_clean,CO2,5.0,298.0,14.0,CAXVUU_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
46,CAZNEY_clean,CO2,5.0,298.0,14.0,CAZNEY_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
