,name,gas,pressure,temp,cutoff,path,Average loading absolute [mol/kg framework],Average loading excess [mol/kg framework],Average loading absolute [molecules/unit cell],Average loading excess [molecules/unit cell]
0,ABETAE_clean,CO2,5.0,298.0,14.0,ABETAE_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
1,ACODAZ_clean,CO2,5.0,298.0,14.0,ACODAZ_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
2,acs.cgd.6b00119_OLISUZ1440339_clean,CO2,5.0,298.0,14.0,acs.cgd.6b00119_OLISUZ1440339_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
3,acs.cgd.6b00151_AKEDAX1449787_clean,CO2,5.0,298.0,14.0,acs.cgd.6b00151_AKEDAX1449787_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
4,acs.inorgchem.6b00413_ic6b00413_si_003_clean,CO2,5.0,298.0,14.0,acs.inorgchem.6b00413_ic6b00413_si_003_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
5,acs.inorgchem.6b01060_ic6b01060_si_003_clean,CO2,5.0,298.0,14.0,acs.inorgchem.6b01060_ic6b01060_si_003_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
6,acs.inorgchem.6b01416_ic6b01416_si_004_clean,CO2,5.0,298.0,14.0,acs.inorgchem.6b01416_ic6b01416_si_004_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
7,acs.inorgchem.6b02413_ic6b02413_si_002_clean,CO2,5.0,298.0,14.0,acs.inorgchem.6b02413_ic6b02413_si_002_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
8,acs.jpcc.6b08594_Zn2Cd6MOF5_opt_clean,CO2,5.0,298.0,14.0,acs.jpcc.6b08594_Zn2Cd6MOF5_opt_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
9,ADAVIM_clean,CO2,5.0,298.0,14.0,ADAVIM_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
10,AHAMAY_clean,CO2,5.0,298.0,14.0,AHAMAY_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
11,AMIWUP_clean,CO2,5.0,298.0,14.0,AMIWUP_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
12,ANONAT_manual,CO2,5.0,298.0,14.0,ANONAT_manual_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
13,AQOMAW_clean,CO2,5.0,298.0,14.0,AQOMAW_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
14,ARAHIM01_clean,CO2,5.0,298.0,14.0,ARAHIM01_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
15,ARIDIQ_clean,CO2,5.0,298.0,14.0,ARIDIQ_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
16,ASEKAM_clean,CO2,5.0,298.0,14.0,ASEKAM_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
17,AVAKAL_clean,CO2,5.0,298.0,14.0,AVAKAL_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
18,AVIVAC_clean,CO2,5.0,298.0,14.0,AVIVAC_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
19,AVUCEA_clean,CO2,5.0,298.0,14.0,AVUCEA_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
20,AWAGEL_clean,CO2,5.0,298.0,14.0,AWAGEL_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
21,AZEBUE_clean,CO2,5.0,298.0,14.0,AZEBUE_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
22,BALPIP_clean,CO2,5.0,298.0,14.0,BALPIP_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
23,BASTEW_clean,CO2,5.0,298.0,14.0,BASTEW_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
24,BASTUM_clean,CO2,5.0,298.0,14.0,BASTUM_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
25,BEFNOR_clean,CO2,5.0,298.0,14.0,BEFNOR_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
26,BEPNUH_clean,CO2,5.0,298.0,14.0,BEPNUH_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
27,BEPVEZ_clean,CO2,5.0,298.0,14.0,BEPVEZ_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
28,BEVRAW_clean,CO2,5.0,298.0,14.0,BEVRAW_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
29,BEXVIL_clean,CO2,5.0,298.0,14.0,BEXVIL_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
30,BIWSOQ_clean,CO2,5.0,298.0,14.0,BIWSOQ_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
31,BIYTOU_clean,CO2,5.0,298.0,14.0,BIYTOU_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
32,BIZMAA_clean,CO2,5.0,298.0,14.0,BIZMAA_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
33,BOZFIH_clean,CO2,5.0,298.0,14.0,BOZFIH_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
34,BUNLAZ_clean,CO2,5.0,298.0,14.0,BUNLAZ_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
35,BUSQUC_clean,CO2,5.0,298.0,14.0,BUSQUC_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
36,BUVKUA_clean,CO2,5.0,298.0,14.0,BUVKUA_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
37,BUXNIT_clean,CO2,5.0,298.0,14.0,BUXNIT_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
38,c4dt02169j_c4dt02169j2_clean,CO2,5.0,298.0,14.0,c4dt02169j_c4dt02169j2_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
39,c4dt02316a_c4dt02316a2_clean,CO2,5.0,298.0,14.0,c4dt02316a_c4dt02316a2_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
40,c4dt03077j_c4dt03077j2_clean,CO2,5.0,298.0,14.0,c4dt03077j_c4dt03077j2_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
41,c5ce00181a_c5ce00181a2_clean,CO2,5.0,298.0,14.0,c5ce00181a_c5ce00181a2_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
42,c5ce00388a_c5ce00388a2_clean,CO2,5.0,298.0,14.0,c5ce00388a_c5ce00388a2_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
43,c5dt01526j_c5dt01526j2_clean,CO2,5.0,298.0,14.0,c5dt01526j_c5dt01526j2_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
44,c5dt03038b_c5dt03038b2_clean,CO2,5.0,298.0,14.0,c5dt03038b_c5dt03038b2_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
45,c5ra23254f_c5ra23254f2_clean,CO2,5.0,298.0,14.0,c5ra23254f_c5ra23254f2_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
46,c6cc00862c_c6cc00862c2_clean,CO2,5.0,298.0,14.0,c6cc00862c_c6cc00862c2_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
47,c6cc02494g_c6cc02494g6_clean,CO2,5.0,298.0,14.0,c6cc02494g_c6cc02494g6_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
48,c6ce00134c_c6ce00134c2_clean,CO2,5.0,298.0,14.0,c6ce00134c_c6ce00134c2_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
49,c6ce00407e_c6ce00407e10_clean,CO2,5.0,298.0,14.0,c6ce00407e_c6ce00407e10_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
50,c6ce00407e_c6ce00407e5_clean,CO2,5.0,298.0,14.0,c6ce00407e_c6ce00407e5_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
51,c6ce00407e_c6ce00407e9_clean,CO2,5.0,298.0,14.0,c6ce00407e_c6ce00407e9_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
52,c6cp03028a_c6cp03028a3_clean,CO2,5.0,298.0,14.0,c6cp03028a_c6cp03028a3_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
53,c6ra03969c_c6ra03969c2_clean,CO2,5.0,298.0,14.0,c6ra03969c_c6ra03969c2_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
54,c6ra14268k_c6ra14268k2_clean,CO2,5.0,298.0,14.0,c6ra14268k_c6ra14268k2_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
55,c6ta02340a_c6ta02340a2_clean,CO2,5.0,298.0,14.0,c6ta02340a_c6ta02340a2_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
56,CAHQAG_clean,CO2,5.0,298.0,14.0,CAHQAG_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
57,CAKFEB01_clean,CO2,5.0,298.0,14.0,CAKFEB01_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
58,CAVSUP_clean,CO2,5.0,298.0,14.0,CAVSUP_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
59,CAWDOU02_clean,CO2,5.0,298.0,14.0,CAWDOU02_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
60,CEHROY_clean,CO2,5.0,298.0,14.0,CEHROY_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
61,CEHTEP_clean,CO2,5.0,298.0,14.0,CEHTEP_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
62,CENJIQ_clean,CO2,5.0,298.0,14.0,CENJIQ_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
63,CESFOW_clean,CO2,5.0,298.0,14.0,CESFOW_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
64,cg200332y_si_002_clean,CO2,5.0,298.0,14.0,cg200332y_si_002_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
65,CICYIX_clean,CO2,5.0,298.0,14.0,CICYIX_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
66,CIPCUB_clean,CO2,5.0,298.0,14.0,CIPCUB_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
67,cm503311x_alf450K_clean,CO2,5.0,298.0,14.0,cm503311x_alf450K_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
68,cm503767r_cm503767r_si_002_clean,CO2,5.0,298.0,14.0,cm503767r_cm503767r_si_002_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
69,COCMUE_clean,CO2,5.0,298.0,14.0,COCMUE_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
70,CODMUF_clean,CO2,5.0,298.0,14.0,CODMUF_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
71,CODSOF_clean,CO2,5.0,298.0,14.0,CODSOF_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
72,COKFAK_clean,CO2,5.0,298.0,14.0,COKFAK_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
73,COTVOY_clean,CO2,5.0,298.0,14.0,COTVOY_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
