,Active_Learning_MSE,Active_Learning_R2,Random_이어서학습_MSE,Random_이어서학습_R2,Random_모델재학습_MSE,Random_모델재학습_R2
0,12601.805359640131,-7717.004189824283,0.740499572996318,0.5464793619767603,12.907194387351357,-6.905040390442835
1,6.174313692339899,-2.781472383265695,0.7278211720209,0.5542442773246785,18.174839407259846,-10.131221494966873
2,1.3171533224340126,0.19330646910761462,0.7072537934928818,0.566840814814564,15.271002258189526,-8.352759866375893
3,0.5636220204702287,0.6548084190065069,0.7010630522715009,0.5706323482751395,25.439893466053572,-14.580720282231995
4,1.1173816358933797,0.31565709028661826,0.7130058349271924,0.5633179640306412,11.802793024778877,-6.2286472784780065
5,0.3138296426292657,0.8077943256875617,0.7222102831391647,0.5576806789085789,17.58904587034697,-9.772450918590135
6,0.301063003639746,0.8156132826067553,0.7011194794665158,0.57059778931195,13.48456650958203,-7.258653252353547
7,0.6801884826902251,0.5834170256202644,0.7268799163726035,0.5548207514750025,10.103855869344217,-5.188129375710835
8,0.2966960620499642,0.8182878258586768,0.6967429228403641,0.5732782213146395,4.661060133185627,-1.854676818939291
9,0.2785505459657093,0.8294010882181584,0.689555356537625,0.5776802625504807,9.928926384480791,-5.080993417126383
10,0.27547743889879933,0.8312832195907117,0.7098015255794389,0.5652804505367937,13.711186371744724,-7.39744709940587
11,0.2732560216004875,0.8326437316385036,0.6857508710807886,0.5800103282718597,12.870295283465243,-6.882441450825351
12,0.28417029242403086,0.8259592617914475,0.7160609841906417,0.5614468309554264,20.10317831611123,-11.31223702037578
13,0.26014832961840234,0.84067156723424,0.6982042014422866,0.5723832579304041,14.67939999460715,-7.990431722214755
14,0.25388229447443866,0.8445092146279685,0.7125937738172148,0.5635703317892684,18.77223690230382,-10.497098941741816
15,0.27088694548413206,0.8340946776633171,0.7314572201507069,0.5520173714251373,15.877104824227823,-8.723968753566673
16,0.2327018890012269,0.857481201856717,0.6934931293042691,0.5752685647147981,21.815129688679097,-12.360725509856112
17,0.23506643102877187,0.8560330327448487,0.7065663377628747,0.5672618486309968,13.33830496342612,-7.1690750376592565
18,0.2318696291472948,0.857990921286303,0.6960342145701708,0.5737122712973691,14.092297782983445,-7.630859645051974
19,0.23003723020982914,0.8591131781592812,0.7245030162084644,0.5562764893555743,16.591061076177382,-9.161232874590624
20,0.23185028002364622,0.858002771700837,0.680457266682573,0.5832524082563315,7.319745176031609,-3.482994485694178
21,0.21210947992800602,0.870093069360615,0.6871491427641256,0.5791539536173937,6.401394254274198,-2.9205483869349522
22,0.20858008658454055,0.8722546542950758,0.7085808133764036,0.5660280784860215,3.2552452855113554,-0.99368233641722
23,0.1881328580247356,0.8847776056652258,0.6904735463551929,0.5771179151203465,2.4640202189895053,-0.5090947551752876
24,0.19873577598709088,0.8782838245820875,0.6852655938063044,0.5803075374360078,5.19244632062845,-2.1801254910980856
25,0.18844243768776683,0.884588002900529,0.6840503004436032,0.5810518466042189,2.8953651404568665,-0.773272927757346
26,0.18427525703861186,0.8871402021126307,0.6765039715709347,0.5856736127873075,2.739325433452777,-0.6777060563395738
27,0.18588934127461712,0.8861516525722517,0.6742275640508645,0.5870678037207684,3.718171129569841,-1.2772023164562838
28,0.18577797639043256,0.8862198582474075,0.6662008273040505,0.5919837967927559,2.9355464402376743,-0.7978820556727857
29,0.1863654997082906,0.8858600282627791,0.6559491060876569,0.5982624866346451,4.730177081267342,-1.897007650090755
30,0.16463977178080208,0.8991659994618239,0.6670971854933677,0.5914348201927133,2.3880275445476338,-0.4625528698660013
31,0.17199420844078775,0.8946617580983318,0.6614862495864144,0.5948712505773148,3.4808235679674198,-1.1318382656228265
32,0.17186521013835387,0.89474076340037,0.6788367127454091,0.5842449201798157,4.388149180571478,-1.6875318888588051
33,0.1763494365209081,0.891994388811891,0.6670192849822532,0.5914825305369071,3.5354891260135997,-1.1653183102671236
34,0.17149890221245956,0.8949651095179408,0.6707702204160427,0.5891852616482394,1.8314125029672295,-0.1216527289389353
35,0.16747524338009204,0.8974294084687955,0.6747408183580164,0.5867534599596966,2.124293212270109,-0.30102818166239187
36,0.16553611881296465,0.8986170296950059,0.6546087342318819,0.5990834004087877,1.9612195115070084,-0.2011533248604691
37,0.17949459801783074,0.8900681275407348,0.6527594246894923,0.6002160142199927,0.8568496132730913,0.4752205166990544
38,0.16142741084963896,0.9011334171784432,0.6585619686494945,0.5966622330500053,2.5970769024512874,-0.5905856218515113
39,0.5206007413877942,0.6811568986674648,0.6689611859516754,0.5902932088968328,2.0070360686363906,-0.2292137788824311
40,0.1656134792376742,0.8985696501279521,0.6503755409704062,0.6016760291945842,2.599445060233294,-0.5920360054403762
41,0.16695524484822943,0.8977478827455425,0.6707135370689934,0.5892199774923216,3.1632895832402714,-0.9373638586156612
42,0.15633341551814187,0.9042532461386139,0.6723998649213422,0.5881871821857436,1.7589496614933957,-0.07727269781317347
43,0.16800613244980336,0.8971042642575155,0.6657587215339438,0.5922545654714214,2.367660071747135,-0.45007876509099565
44,0.16363189576185924,0.8997832754088034,0.6570912388214906,0.5975629848590268,1.861594861319003,-0.14013798256488208
45,0.16668939229150284,0.8979107047451,0.6613201936304116,0.5949729519230823,1.6791387669690192,-0.02839233497995841
46,0.16071720829927877,0.9015683823364402,0.6527210675091162,0.6002395061618537,2.107150325380852,-0.29052898182069953
47,0.16410572828832196,0.8994930756064619,0.6661141505751478,0.5920368821513804,6.862821669183554,-3.203150650653132
48,0.1700686170072511,0.8958410909262712,0.6742829394994581,0.587033888902053,2.257418798762492,-0.3825612481555227
